patent_id,section,cpc_class,cpc_subclass
4159674,F,F24,F24F
4321348,A,A61,A61K
4327248,F,F16,F16L
4379419,B,B23,B23Q
4950337,C,C21,C21D
4958758,A,A45,A45B
5093696,H,H01,H01S
5356776,C,C12,C12Q
5718542,B,B23,B23D
5848630,E,E05,E05C
5922480,H,H05,H05B
6027217,A,A61,A61B
6060783,H,H01,H01L
6383488,C,C12,C12N
6395533,B,B09,B09C
6425528,B,B29,B29C
6593255,C,C08,C08J
7016795,B,B24,B24B
7067735,H,H01,H01M
7169281,H,H01,H01M
7189803,C,C12,C12N
7242792,G,G06,G06T
7510861,C,C12,C12N
7748512,E,E05,E05B
7805690,G,G01,G01R
7877291,H,H04,H04M
8013178,C,C07,C07F
8267833,B,B60,B60K
8431084,B,B01,B01D
8457776,B,B66,B66F
8575719,G,G11,G11C
8619890,G,G11,G11C
8840835,A,A23,A23L
8851913,F,F21,F21V
8866011,F,F16,F16B
8875022,G,G06,G06F
9043263,G,G06,G06Q
9085816,C,C21,C21C
9133367,C,C09,C09J
9228003,C,C12,C12N
9427916,B,B33,B33Y
9491598,H,H04,H04M
9505030,B,B81,B81C
9546639,F,F03,F03B
9562245,C,C12,C12P
9673752,H,H02,H02S
9722130,H,H10,H10F
9774685,H,H04,H04L
9981226,A,A23,A23V
10139104,A,A61,A61L
10153204,H,H01,H01L
10317005,G,G06,G06F
10350626,B,B01,B01D
4268188,B,B09,B09B
5286577,C,C22,C22C
5409950,A,A61,A61P
5482918,C,C01,C01G
5707526,A,A61,A61M
5824551,A,A61,A61K
6245710,B,B44,B44C
8882307,F,F21,F21Y
9880576,H,H02,H02J
9969257,B,B60,B60L
10283476,G,G02,G02B
10399330,B,B29,B29K
10403115,G,G01,G01C
10464298,B,B32,B32B
11025685,H,H04,H04M
11285832,B,B60,B60L
11408182,C,C08,C08K
11732643,B,B64,B64D
12395566,G,G06,G06Q
4159674,B,B32,B32B
4517231,B,B29,B29C
5185147,A,A61,A61K
5658132,B,B60,B60H
5709925,B,B29,B29K
5785879,C,C04,C04B
5922480,C,C09,C09K
6033973,H,H01,H01J
6264952,A,A61,A61K
6291236,A,A61,A61P
6425528,B,B29,B29L
6490091,C,C03,C03C
7049625,B,B82,B82Y
7482400,C,C01,C01P
7510861,C,C12,C12Y
7757942,G,G06,G06V
7867985,A,A61,A61P
7968510,A,A61,A61K
9365463,C,C05,C05F
9403878,C,C12,C12N
9722370,H,H01,H01R
9774685,H,H04,H04W
10264684,G,G01,G01R
4169912,C,C01,C01P
5658641,A,A41,A41D
7078039,A,A61,A61K
9134744,G,G01,G01R
9336417,B,B60,B60L
10867146,G,G06,G06Q
10947582,A,A61,A61P
11100521,A,A63,A63F
11604466,B,B25,B25J
12215607,B,B64,B64C
12429578,B,B60,B60S
4521677,G,G06,G06F
5691452,A,A01,A01N
6383488,A,A61,A61K
7118764,A,A23,A23L
7877291,G,G05,G05B
9043263,G,G05,G05B
9228003,A,A61,A61P
9505030,B,B06,B06B
9722130,C,C30,C30B
4103706,F,F25,F25B
8601791,F,F02,F02C
9755211,B,B60,B60L
11499734,G,G06,G06Q
9403878,C,C12,C12Y
10283476,B,B33,B33Y
10283476,B,B32,B32B
7968510,A,A23,A23P
5515303,G,G07,G07G
9403878,A,A61,A61K
5515303,G,G06,G06Q
10444287,Y,Y10,Y10S
10477097,H,H04,H04N
10517327,H,H05,H05B
10558689,G,G10,G10L
10614656,G,G07,G07F
10632842,B,B60,B60K
10651787,Y,Y02,Y02E
10717849,C,C09,C09K
10747457,H,H05,H05K
10749180,Y,Y02,Y02E
10833183,H,H10,H10D
10838765,G,G10,G10L
10843267,Y,Y02,Y02P
10860615,Y,Y02,Y02D
10907141,G,G01,G01N
10993518,A,A45,A45D
11021704,C,C12,C12Q
11037619,G,G11,G11C
11157169,H,H04,H04W
11273878,Y,Y02,Y02T
11294457,G,G10,G10L
11356948,Y,Y02,Y02D
11418079,H,H02,H02K
11529699,C,C22,C22F
11536863,G,G01,G01V
11556278,G,G06,G06F
11601731,H,H04,H04R
11653016,H,H04,H04N
11682033,G,G06,G06Q
11725386,E,E04,E04C
11784041,H,H01,H01L
11794511,H,H01,H01F
11794960,B,B65,B65D
11894448,H,H10,H10D
11894926,H,H04,H04J
11896893,G,G09,G09G
11986352,G,G06,G06T
12009209,H,H01,H01L
12075419,H,H04,H04L
12183878,Y,Y02,Y02E
12195331,H,H02,H02G
12237646,H,H01,H01S
12233812,B,B60,B60R
12278278,H,H10,H10D
12324054,H,H04,H04W
12338039,Y,Y02,Y02W
12369808,A,A61,A61B
12423900,G,G06,G06T
3949903,F,F25,F25D
3961159,G,G09,G09G
3975206,C,C08,C08B
4023529,Y,Y10,Y10S
4049653,C,C07,C07D
4111583,E,E01,E01D
4210813,H,H05,H05G
4219363,C,C04,C04B
4227630,B,B22,B22D
4233539,H,H01,H01J
4256955,G,G07,G07C
4270321,E,E04,E04B
4328339,C,C07,C07D
4330785,G,G01,G01D
4331936,H,H01,H01S
