company_id,name
ec7f040a-b271-48bb-8bb2-ca43c2940e06,ADIMMUNE CORPORATION
925a7daf-e578-4095-9027-eef47a7d8efa,"VIASAT, INC."
9788e336-81cb-439e-b1b4-799e42626c91,Regents of the University of Minnesota
d0949d50-42b4-492f-8999-c0a189d687ad,Gas Research Institute
09c58426-faa3-4ad7-9021-bc5855f117f3,"CENTRAL GLASS COMPANY, LIMITED"
383e972d-884d-4d1a-a9e2-2d8f86cf327c,"Whitemetal, Inc."
fa9ef009-5297-4402-abef-e91d3fecf557,Allegheny Ludlum Corporation
f0b177b1-fac0-44a3-9489-a6bfad165f8c,Molins PLC
4a379374-0f43-4e52-8501-6d10a356bebe,FUJIMI INCORPORATED
fe53a279-78f5-4e78-b6b6-e7e29b458289,Lorraine Moore
35b416a1-4a20-4ad0-b6eb-2e0810c33cbe,"Minolta Co., Ltd."
bb487b28-f821-4b55-8825-977c8dec3044,"Eveready Battery Company, Inc."
63feb610-4764-4294-a770-74a3ab2d1098,"JARLLYTEC CO., LTD."
71d8c2c1-31fc-42d8-94cb-1beda5e308f3,"Baker Hughes, a GE company, LLC"
24976d09-23bc-4129-9c83-d17c81e3f6e5,C & J CLARK INTERNATIONAL LIMITED
bdeb6187-82c3-4e04-bec6-b6bbd06c99cc,Verizon Patent and Licensing Inc.
64af9642-54df-4657-8998-b1fa6afeeeac,"Avid, L.L.C."
e085ed9a-dfa5-46e8-bd71-01b53c654e8d,"Aixtron, Inc."
cf6ee0c5-5950-40db-a7d9-c7839691f886,ZYMOGENETICS INC.
6605e063-c0c7-4a43-8478-7a231fbea22a,"Juniper Networks, Inc."
7eeb2b25-957f-4f30-a366-0ea755267985,Hilti Aktiengesellschaft
143401d6-486f-4b02-a218-cad2d1dd34a4,"Oakley, Inc."
2c92f6cd-eec8-4259-bb5f-c552671b3f3c,Saverglass
a19decc9-1536-494f-a79d-9384f6116d61,Worcester Polytechnic Institute
40f7686a-ba7e-47b6-b1f2-05f544d60400,B. Braun Avitum AG
23200c3d-c323-44de-910f-a826bf2691cc,SEB S.A.
6a2738fb-6a5f-4181-ab63-2bf3cde7a208,Nalco Chemical Company
1e5fcac7-8a26-4fab-ba20-e20c8cdb126c,USUI KOKUSAI SANGYO KAISHA LIMITED
4215acd9-1387-4c01-aa8e-e14bb47acef5,"ACCURI CYTOMETERS, INC."
a26db0a6-701b-464d-ab41-b33d1a7297e1,"Chiun Mai Communication Systems, Inc."
5fc086ac-17b5-4f6f-97b4-c91d0f3edc14,"Cree, Inc."
00b054c2-92d6-46f1-8a00-0c0fe50b4c39,Sealed Air Corporation (US)
25fc2dc5-9d39-4b02-af00-8029f260b66d,GUANDONG OCEAN UNIVERSITY
2a6fb26d-ee82-4171-81e1-160806ebaf0e,Jungers Verkstads AB of Goteborg
42b8216d-a936-4d44-ad3c-61eb08706cd2,The Pillsbury Company
a91e0552-7d86-4ef6-ad25-78e6264b4d0a,AZ Electronic Materials USA Corp.
ab722099-9bef-4155-8972-c53530faefa1,"Grupo Rayma, S.A."
cf111617-4894-43f8-890a-a2a60dac145e,Brolaz Projects (Proprietary) Ltd.
e28a7982-43be-4358-8e4c-ad5dfa253d10,"Provivi, Inc."
51580e10-1ca3-4c02-97ac-6a3082964769,NATIONAL HEALTH LABORATORY SERVICE
196dbae1-6a54-4158-b866-63de7dd7f680,Techo SRL
5564675f-88f6-41a3-8621-ad7644caf16b,"NICHIMAN CO., LTD."
bdfd998c-54dc-4a2d-a162-8e76c3416ace,New Jersey Institute of Technology
15cdf589-b891-4a70-9bae-890644866764,"SUMITOMO CHEMICAL COMPANY, LIMITED"
0d55ffcd-07ec-41f2-84c8-a04cec122407,"nuArc Company, Inc."
568e33e4-c142-46c8-8c17-449ce96c6d2c,"Biomet Biologics, LLC"
c0b4e575-8581-4bc2-84e0-abb2b59f361c,ALBIS PLASTIC GmbH
98e00a36-ccd7-4166-8388-73361fb4c344,"Expose Retail Strategies, Inc."
77d4668e-b391-4266-bcd1-95ff256eab7c,Thule Sweden AB
c6637843-74cb-4e7f-bb3a-6e56c65dfcac,"LINCOLN GLOBAL, INC."
96bbbf65-15b1-4c56-a534-fd21c2249798,"Oncam Global, Inc."
66f1b5d5-b0ab-4ac7-89c8-2c28a91f1249,"X-Card Holdings, LLC"
94b2a468-dc27-4208-bc14-a4ffe5c29538,GULFSTREAM AEROSPACE CORPORATION
1d75bd90-2c18-4f69-aec8-20447535c1f6,"Draeger Medical Systems, Inc."
43937c85-d964-4c37-8986-66b63001f1cc,Volkswagenwerk AG
115bb0b2-543c-4da8-b80d-5775bd110360,"Parke, Davis & Company"
3c8caddf-636a-4432-8020-50f26f9d70cb,UNION CARBIDE CORPORATION
23c56e2e-c589-4e4a-bf4b-571ade37233d,"Shimizu Construction Co., Ltd."
96fd6179-b76f-4f2f-8a10-a6fefc2e3bd3,"PC Mirage, LLC"
3c3a34c4-87f7-428b-8219-0adbfb444dca,"Hydra Biosciences, LLC"
4ae153e2-b36d-4207-8e2a-5a9bd8ad0246,"WAL-MART STORES, INC."
220616ef-6d1b-4f71-97a6-db8c6b300456,MITSUBISHI JIDOSHA KOGYO KABUSHIKI KAISHA
b97ff841-1c97-4d94-b439-f3650d6d9d5a,Biogen MA Inc.
76de14a0-a5dc-45b9-a561-f17614cddb58,PEGAVISION CORPORATION
9cc08c61-12c7-49a0-8ae6-e7a39a8df2f9,Nylon Line Cutters (Pty.) Ltd.
05062d70-30e2-4aaf-9ac9-36472cddccb4,Metal Box Public Limited Company
386f1469-ff1d-419d-b3ac-1d1fda65ab94,Tisma Machinery Corporation
1838a0ae-cdfa-4b7a-8fb7-cea4a96b688e,Moli Energy (1990) Limited
1f2702dd-f971-4ae3-9642-14c01f896433,"HarvesTech, LLC"
3511e740-e421-471c-a919-c25c0c121b42,NTN CORPORATION
a350ed62-9619-4685-9fba-10dedae9a99c,LUMINATION LLC
ffa94077-470c-4a54-9f8f-b85fe6516b43,Time Warner Cable Inc.
0b750e6d-0114-42ed-b142-df0e33adb3bb,Zamtec Ltd
dc2650b1-9b86-4fe2-bfb2-bb6bdbc4239a,TRUMPF LASER- UND SYSTEMTECHNIK GMBH
5dfebf8e-9363-43bb-ac66-f8632f0fa7d8,Eastman Chemical Company
bbd6ec3e-0433-4b62-ac82-462c7151ecab,"JOULWATT TECHNOLOGY (HANGZHOU) CO., LTD."
b5992861-b0b2-4829-adc8-54dc70a8a5e5,"Stirling Technology, Inc."
24b81d82-ad23-4a01-8344-eeac9e7df1c5,Gemplus
367fc648-b4d3-40a0-90f0-1944955f324c,Matsushita Refrigeration Company
f3a4c3c1-01bc-4520-aa18-7c740effc9e3,Kohler Co.
61cd9de7-9a5f-4858-abd2-70afa8df4c1a,"Bridgestone Firestone North American Tire, LLC"
6b4234f0-ff13-4e92-ae27-853787e29a81,ZOJIRUSHI CORPORATION
13a88a2b-b3c0-4507-af03-26a571f0cbe1,MEDVET SCIENCE PTY LTD
d99595b2-9871-4d28-94b2-870d895349e8,"HYUNDAI MOBIS CO., LTD."
061a8fdc-d058-454f-8531-8621e10e8b20,Albert F. Kronman
b6026c87-0b77-41b4-a042-437aa90c66fa,Margot E. Peters
5eee4d30-49b4-45e8-9aed-bf4a321fa96d,"Gill Athletics, Inc."
a82ed179-3287-4d17-b83e-4c2ac3a2e8ed,"BHC Consulting Pty., Ltd."
38b63792-598d-424c-bb44-e54092952c66,"PHYNEXUS, INC."
